endUserByEndUserId$name,name,created,userByOwnerId$initials
Ncardia (via Gascontrol),BP1,2023-11-30T11:45:27.477053,FR
Vishay Siliconix Itzehoe GmbH,601,,FR
Spark NANO,Main,,FR
Dr. Johannes Heidenhain GmbH,TOR1,,FR
Ncardia (via Gascontrol),Main,,FR
Gascontrol,Main,,FR
Dortmund Semiconductor GmbH / Silex Microsystems AB (vh Elmos .. AG),Main,,FR
Signify Belgium (vh Philips Innovative Applications),R,,FR
DEMCON Advanced Mechatronics B.V.,Main,2022-12-06T11:43:15,FR
NRG - Petten,29,2022-11-01T13:41:53,FR
