cdartikel,name,omschr,replacementIntervalMonths,consumable,created,initials
13461,Balston 9933-05,Filter Balston  9933-05 (vochtfilter),12,false,2023-07-24T11:57:59,SK
30758,KF-6S-Y1,KF-6S-Y1 activated carbon filter,12,false,2023-07-12T09:51:59,SK
31205,FE-P-4468,Filter element for P-4468,12,false,2022-11-25T08:11:40,SK
30271,FE-32-W15,Filter element FE-32-W15 for FC-32-B0 A0/B0,12,false,2018-12-11T10:54:58,SK
30794,FE-32-W5,Filter element FE-32-W5 for FC-32-A1/B1,12,false,2018-12-11T10:54:11,SK
30057,FE-1,FE-1 Filter (10 pcs.),6,true,2018-04-18T13:27:36,SK
10407,BIC-10,"In-line filter BIC-10 (NOx, Cl2 removal)",12,false,2017-11-10T14:17:51,SK
11329,Balston 9922-05,Filter Balston  9922-05,12,false,,SK
10410,BIC-4,In-line filter BIC-4 (IPA removal),12,false,,SK
10409,BIC-3,In-line filter BIC-3 (Dust removal),12,false,,SK
