cdartikel,name,omschr,replacementIntervalMonths,created,initials
11,111,,11,2024-04-10T06:55:40.326,CD
123123123,test12344,,12,2024-04-08T09:51:47.666,CD
30566,DHP-20,Pyrolyzer Assy DHP-20,12,2018-11-20T09:42:39,SK
,CDP-7-01,,12,2018-09-17T11:08:44,SK
10399,841-A,Pyrolyzer element 841-A for NF3 (spec. request),12,2018-01-24T10:26:42,SK
13401,2607NE,Filament for Pyrolyzer 2607NE/TEOS,36,2018-01-24T10:23:57,SK
50020,PE-7-01,Pyrolyzer element PE-7-01,12,2015-06-16T12:58:14,SK
10395,841-B,Pyrolyzer element 841-B for AN/TEOS (spec. request),12,,SK
13158,841-TD,Pyrolyzer element 841-TD,12,,SK
